table_id,calendar_year,recid,symbol,page,schedule_number,base_schedule_number,fund_code,fund_name,table_kind,column_boundaries,row_count,csv_path
2017-p034-financial-position-1.10-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,34,1.10,1.10,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,financial_position,"[0.0, 308.37, 400.87, 496.01, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p034-financial-position-1.10-y146.csv
2017-p035-financial-performance-1.10-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,35,1.10,1.10,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p035-financial-performance-1.10-y115.csv
2017-p036-voluntary-contribution-1.10.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,36,1.10.1,1.10,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",19,data/trust-fund-schedules/stage1/tables/2017-p036-voluntary-contribution-1.10.1-y087.csv
2017-p037-financial-position-1.11-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,37,1.11,1.11,DGA,Trust Fund for Global and Regional Disarmament Activities,financial_position,"[0.0, 302.59, 399.24, 498.53, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p037-financial-position-1.11-y146.csv
2017-p038-financial-performance-1.11-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,38,1.11,1.11,DGA,Trust Fund for Global and Regional Disarmament Activities,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p038-financial-performance-1.11-y115.csv
2017-p039-voluntary-contribution-receivable-1.11.1-y086,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,39,1.11.1,1.11,DGA,Trust Fund for Global and Regional Disarmament Activities,voluntary_contribution_receivable,"[0.0, 225.24, 315.12, 411.69, 613.0]",14,data/trust-fund-schedules/stage1/tables/2017-p039-voluntary-contribution-receivable-1.11.1-y086.csv
2017-p039-voluntary-contribution-1.11.1-y274,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,39,1.11.1,1.11,DGA,Trust Fund for Global and Regional Disarmament Activities,voluntary_contribution,"[0.0, 216.19, 324.28, 418.95, 502.51, 613.0]",33,data/trust-fund-schedules/stage1/tables/2017-p039-voluntary-contribution-1.11.1-y274.csv
2017-p040-financial-position-1.12-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,40,1.12,1.12,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,financial_position,"[0.0, 302.58, 399.23, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p040-financial-position-1.12-y146.csv
2017-p041-financial-performance-1.12-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,41,1.12,1.12,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,financial_performance,"[0.0, 318.0, 411.05, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p041-financial-performance-1.12-y115.csv
2017-p042-voluntary-contribution-receivable-1.12.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,42,1.12.1,1.12,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",9,data/trust-fund-schedules/stage1/tables/2017-p042-voluntary-contribution-receivable-1.12.1-y087.csv
2017-p042-voluntary-contribution-1.12.1-y230,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,42,1.12.1,1.12,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",16,data/trust-fund-schedules/stage1/tables/2017-p042-voluntary-contribution-1.12.1-y230.csv
2017-p043-financial-position-1.13-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,43,1.13,1.13,DJA,Trust Fund for the establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),financial_position,"[0.0, 310.88, 403.38, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p043-financial-position-1.13-y146.csv
2017-p044-financial-performance-1.13-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,44,1.13,1.13,DJA,Trust Fund for the establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p044-financial-performance-1.13-y115.csv
2017-p045-voluntary-contribution-1.13.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,45,1.13.1,1.13,DJA,Trust Fund for the establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",16,data/trust-fund-schedules/stage1/tables/2017-p045-voluntary-contribution-1.13.1-y087.csv
2017-p046-financial-position-1.14-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,46,1.14,1.14,DRA,United Nations Institute for Disarmament Research,financial_position,"[0.0, 302.58, 399.23, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p046-financial-position-1.14-y146.csv
2017-p047-financial-performance-1.14-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,47,1.14,1.14,DRA,United Nations Institute for Disarmament Research,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p047-financial-performance-1.14-y115.csv
2017-p048-voluntary-contribution-receivable-1.14.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,48,1.14.1,1.14,DRA,United Nations Institute for Disarmament Research,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",12,data/trust-fund-schedules/stage1/tables/2017-p048-voluntary-contribution-receivable-1.14.1-y087.csv
2017-p048-voluntary-contribution-1.14.1-y263,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,48,1.14.1,1.14,DRA,United Nations Institute for Disarmament Research,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p048-voluntary-contribution-1.14.1-y263.csv
