fund_code,fund_name,first_year,last_year,observed_years
QOA,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions,2017,2024,8
RIA,United Nations Research Institute for Social Development,2017,2024,8
RMB,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals,2017,2024,8
ROD,Trust Fund in Support of the United Nations Register of Damage,2017,2024,8
RSS,Trust Fund for the United Nations Mission in South Sudan,2019,2024,6
SAU,Trust Fund in Support of the African Union Mission to Somalia (AMISOM),2017,2024,8
SBA,Trust Fund in Support of United Nations Programme on Peaceful Uses of Outer Space,2017,2024,8
SCC,Trust Fund to support the Syrian Constitutional Committee,2020,2024,5
SCS,Trust Fund in support of the activities of the Office of the UN Special Coordinator for the Development in the Sahel,2021,2024,4
SDP,Trust Fund for Sports for Development and Peace,2017,2020,4
SEA,Trust Fund in support of the Special Coordinator on improving the United Nations response to Sexual Exploitation and Abuse,2023,2024,2
SHA,United Nations Trust Fund on Contemporary Forms of Slavery,2017,2024,8
SIM,Trust Fund in Support of the International Impartial and Independent Mechanism,2017,2024,8
SNA,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund),2017,2024,8
SOP,Trust Fund for Peacebuilding in Somalia,2017,2024,8
STS,Trust Fund in Support of the Somali Transitional Security Institutions,2017,2020,4
SVB,Trust Fund in Support of Victims of Sexual Exploitaion and Abuse,2017,2024,8
SVC,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict,2017,2024,8
SVD,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children,2017,2024,8
SWE,Trust Fund for Support of Joint Inspection Unit (JIU) Activities,2017,2024,8
SZA,Trust Fund in Support of Political Affairs,2017,2024,8
TJA,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice,2017,2024,8
TLA,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law",2017,2024,8
TTA,United Nations Commission on International Trade Law Symposia,2017,2024,8
TXB,Trust Fund for UNCTAD Technical Cooperation Projects,2017,2024,8
UDF,UN Democracy Trust Fund,2017,2024,8
UGA,Trust Fund for Security of Staff Members of the United Nations System,2017,2024,8
UIC,Trust Fund for the United Nations Operation in Cote d'Ivoire,2017,2024,8
UNN,Trust Fund for UNON Extrabudgetary,2017,2024,8
UPR,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review,2017,2024,8
VPU,Voluntary Fund for Participation in the Universal Periodic Review,2017,2024,8
VTA,Voluntary Technical Assistance Trust Fund to Support the Paticipation of Least Developed Countries & Small Island Developing States in the work of the Human Rights Council,2017,2024,8
WAA,Trust Fund for Aging,2017,2024,8
WKA,Trust Fund to Support the Work of the High-level Political Forum on Sustainable Development,2017,2024,8
WOA,Trust Fund for the Follow-up to the World Summit for Social Development,2017,2024,8
WVZ,ESCWA - Technical Cooperation Trust Fund,2017,2024,8
XES,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme,2017,2024,8
YEA,Trust Fund in Support of Office of the Special Envoy of the Secretary General to Yemen (OSESGY),2024,2024,1
YFA,Trust Fund for Assistance in the Training of United Nations Staff in the French Language,2017,2020,4
YJA,Trust Fund for Alliance of Civilizations,2017,2024,8
YRA,Trust Fund for Will and Gift to the UN,2017,2024,8
