calendar_year,fund_code,fund_name,base_schedule_number,recid,first_pdf_page
2017,RMB,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals,2.8,1644706.0,146
2017,ROD,Trust Fund in Support of the United Nations Register of Damage,1.30,1644706.0,91
2017,SAU,Trust Fund in Support of the African Union Mission to Somalia (AMISOM),1.31,1644706.0,94
2017,SBA,Trust Fund in Support of the Programme on the Preaceful Uses of Outer Space,1.32,1644706.0,97
2017,SDP,Trust Fund for Sports for Development and Peace,6.14,1644706.0,381
2017,SHA,United Nations Trust Fund on Contemporary Forms of Slavery,4.13,1644706.0,322
2017,SIM,Trust Fund in Support of the International Impartial and Independent Mechanism,4.14,1644706.0,325
2017,SNA,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund),6.15,1644706.0,384
2017,SOP,Trust Fund for Peacebuilding in Somalia,1.33,1644706.0,100
2017,STS,Trust Fund in Support of the Somali Transitional Security Institutions,1.34,1644706.0,103
2017,SVB,Trust Fund in Support of Victims of Sexual Exploitaion and Abuse,1.35,1644706.0,105
2017,SVC,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict,1.36,1644706.0,108
2017,SVD,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children,1.37,1644706.0,111
2017,SWE,Trust Fund for Support of Joint Inspection Unit (JIU) Activities,3.33,1644706.0,252
2017,SZA,Trust Fund in Support of Political Affairs,1.38,1644706.0,114
2017,TJA,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice,2.9,1644706.0,149
2017,TLA,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law",2.10,1644706.0,152
2017,TTA,United Nations Commission on International Trade Law Symposia,2.11,1644706.0,155
2017,TXB,Trust Fund for UNCTAD Technical Cooperation Projects,3.34,1644706.0,255
2017,UDF,UN Democracy Trust Fund,1.39,1644706.0,118
2017,UGA,Trust Fund for Security of Staff Members of the United Nations System,6.16,1644706.0,386
2017,UIC,Trust Fund for the United Nations Operation in Cote d'Ivoire,1.40,1644706.0,121
2017,UNN,Trust Fund for UNON Extrabudgetary,6.17,1644706.0,389
2017,UPR,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review,4.15,1644706.0,328
2017,VPU,Voluntary Fund for Participation in the Universal Periodic Review,4.16,1644706.0,331
2017,VTA,Voluntary Technical Assistance Trust Fund to Support the Paticipation of Least Developed Countries & Small Island Developing States in the work of the Human Rights Council,4.17,1644706.0,334
2017,WAA,Trust Fund for Aging,3.35,1644706.0,262
2017,WKA,Trust Fund to Support the work of the High-level Political Forum on Sustainable Development,3.36,1644706.0,265
2017,WOA,Trust Fund for the Follow-up to the World Summit for Social Development,3.37,1644706.0,269
2017,WVZ,ESCWA - Technical Cooperation Trust Fund,3.38,1644706.0,271
2017,XES,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme,3.39,1644706.0,274
2017,YFA,Trust Fund for Assistance in the Training of United Nations Staff in the French Language,6.18,1644706.0,392
2017,YJA,Trust Fund for Alliance of Civilizations,3.40,1644706.0,278
2017,YRA,Trust Fund for Will and Gift to the UN,6.19,1644706.0,394
2018,ACM,Trust Fund in Support of General Assembly and Conference Management Activities,6.1,3930166.0,346
2018,AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,4.1,3930166.0,284
2018,AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,3.1,3930166.0,157
2018,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,1.1,3930166.0,12
2018,BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,3.2,3930166.0,160
2018,BTF,General Trust Fund for ESCAP Regional Activities,3.3,3930166.0,164
2018,BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,3.4,3930166.0,167
2018,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,1.2,3930166.0,15
2018,CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2.1,3930166.0,127
2018,CCS,Trust Fund for Climate Change Support,6.2,3930166.0,349
2018,CER,Central Emergency Response Fund,4.2,3930166.0,287
2018,CFE,Trust Fund for ECA Construction,6.21,3930166.0,404
2018,CHA,United Nations Voluntary Fund for Victims of Torture,4.3,3930166.0,291
2018,CIA,Trust Fund for a Human Rights Education Programme in Cambodia,4.4,3930166.0,294
2018,CIB,Trust Fund in Support of the construction and renovation of the United Nations compound in Baghdad,1.3,3930166.0,18
2018,CLA,Trust Fund for Legal Affairs and related issues,2.2,3930166.0,129
2018,CLO,Trust Funds converted from IMIS to be closed,6.3,3930166.0,352
2018,CLR,Trust Fund Central Emergency Response Fund Loan component,4.5,3930166.0,297
2018,CNM,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation,1.43,3930166.0,124
2018,COC,Trust Fund to Support Management and Reform Activities,6.4,3930166.0,355
2018,CPK,Trust Fund for Peacekeeping Support Activities,1.4,3930166.0,20
2018,CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,3.5,3930166.0,171
2018,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,1.5,3930166.0,23
2018,CTI,Trust Fund for Counter-Terrorism,1.6,3930166.0,26
2018,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,1.8,3930166.0,29
2018,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",1.9,3930166.0,32
2018,DDN,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator,4.6,3930166.0,299
2018,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,1.10,3930166.0,35
2018,DGA,Trust Fund for Global and Regional Disarmament Activities,1.11,3930166.0,38
2018,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,1.12,3930166.0,41
2018,DJA,Trust Fund for the establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),1.13,3930166.0,44
2018,DLA,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund,4.7,3930166.0,303
2018,DRA,United Nations Institute for Disarmament Research,1.14,3930166.0,47
2018,DSA,Special Purpose Trust Fund for the Reinvigorated Resident Coordinator (RC) System,6.22,3930166.0,407
