PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2024,2024,11834030.0,Voluntary,Financial Statement,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,0.0,Voluntary,Financial Statement,Trust Fund for Global and Regional Disarmament Activities
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,-357544.0,Voluntary,Financial Statement,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action
Disarmament,II,Political affairs,4,Disarmament,UNIDIR,2024,2024,-8053.0,Voluntary,Financial Statement,United Nations Institute for Disarmament Research
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSET,2024,2024,0.0,Voluntary,Financial Statement,Trust Fund for Digital Agenda
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,-75206.0,Voluntary,Financial Statement,Trust Fund for the Support to the Activities of the Centre for Human Rights
Maintenance of international peace and security,II,Political affairs,3,Political affairs,HSU,2024,2024,-2080325.0,Voluntary,Financial Statement,Trust Fund for Human Security
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,JPO,2024,2024,-1474485.0,Voluntary,Financial Statement,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2024,2024,117744.0,Voluntary,Financial Statement,Trust Fund in Support of the Department of Operational Support
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2024,2024,0.0,Voluntary,Financial Statement,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMAS,2024,2024,0.0,Voluntary,Financial Statement,Voluntary Trust Fund for Assistance in Mine Action
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,0.0,Voluntary,Financial Statement,Trust Fund to Support the launch and operationalization of the Technology Bank for LDCs
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,-170671.0,Voluntary,Financial Statement,Trust Fund for United Nations Peace and Development
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2024,2024,-1698984.0,Voluntary,Financial Statement,Trust Fund in Support of Peace and Security in Mali
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2024,2024,-1.0,Voluntary,Financial Statement,United Nations Fund for International Partnership (UNFIP)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNRoD,2024,2024,18561.0,Voluntary,Financial Statement,Trust Fund in Support of the United Nations Register of Damage
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2024,2024,-25943.0,Voluntary,Financial Statement,Trust Fund in Support of Victims of Sexual Exploitation and Abuse
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,12,Trade and development,UNCTAD,2024,2024,-1.0,Voluntary,Financial Statement,Trust Fund for UNCTAD Technical Cooperation Projects
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,-3306.0,Voluntary,Financial Statement,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,MPTF-CVD,2024,2024,-403933.0,Voluntary,Financial Statement,MPTF - UN COVID-19 Multi Partner Trust Fund
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2024,2024,19124465.0,Voluntary,Financial Statement,MPTF - Humananitarian Funds
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,MPTF-HTI,2024,2024,-65084.0,Voluntary,Financial Statement,MPTF - Haiti Cholera Response Fund
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSET,2024,2024,2464366.0,Voluntary,Financial Statement,MPTF - Digital Cooperation Fund
Maintenance of international peace and security,II,Political affairs,3,Political affairs,MPTF-PBF,2024,2024,142432342.0,Voluntary,Financial Statement,MPTF - Peacebuilding Fund
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OTHER,2024,2024,180883.0,Voluntary,Financial Statement,Spotlight Initiative 2.0 Trust Fund
"Drug control, crime prevention and combating terrorism",IV,International cooperation for development,16,"International drug control, crime and terrorism prevention and criminal justice",UNODC,2024,2024,447617825.0,Voluntary,Financial Statement,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,15,Human settlements,UN-HABITAT,2024,2024,172645000.0,Voluntary,Financial Statement,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,14,Environment,UNEP,2024,2024,808064000.0,Voluntary,Financial Statement,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ACABQ,2024,2024,7109459.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",AOJ,2024,2024,9796405.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,ASM-AQMT,2024,2024,5729212.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,BINUH,2024,2024,33718193.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",BOA,2024,2024,3842744.0,Regular assessed,A/80/6,
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,31,Jointly financed administrative activities,CEB,2024,2024,1318525.0,Regular assessed,A/80/6,
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,CMP-CYPRUS,2024,2024,388368.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CNMC,2024,2024,3022709.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",COC,2024,2024,414609.0,Regular assessed,A/80/6,
Effective functioning of the organization,XI,Capital expenditures,33,"Construction, alteration, improvement and major maintenance",CONS,2024,2024,94932675.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",CPC,2024,2024,655655.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CTED,2024,2024,11173309.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,DESA,2024,2024,9816286.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,88168458.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,XIII,Development Account,35,Development Account,DEV-ACCT,2024,2024,18502900.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,DGACM,2024,2024,325587706.0,Regular assessed,A/80/6,
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,2602629.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,99553090.0,Regular assessed,A/80/6,
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,DGC,2024,2024,1470340.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",DHIP,2024,2024,85972.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2024,61480265.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2024,2024,87652093.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2024,6485895.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,DPPA,2024,2024,53307824.0,Regular assessed,A/80/6,
Effective functioning of the organization,XII,Safety and security,34,Safety and security,DSS,2024,2024,137624175.0,Regular assessed,A/80/6,
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,ECA,2024,2024,876083.0,Regular assessed,A/80/6,
Development of Africa,V,Regional cooperation for development,23,Regular programme of technical cooperation,ECA,2024,2024,8843245.0,Regular assessed,A/80/6,
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2024,2024,85969483.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,ECCC,2024,2024,1827371.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,ECE,2024,2024,2506548.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2024,2024,36843364.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,ECLAC,2024,2024,4834332.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,21,Economic and social development in Latin America and the Caribbean,ECLAC,2024,2024,56916273.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,959156.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,5363790.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,12223277.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,19,Economic and social development in Asia and the Pacific,ESCAP,2024,2024,53097656.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,ESCAP,2024,2024,3709155.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,ESCWA,2024,2024,197950.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,22,Economic and social development in Western Asia,ESCWA,2024,2024,50756402.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,ESCWA,2024,2024,5033917.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ETHICS,2024,2024,1897160.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",GA,2024,2024,3215432.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,GEXP-DRC,2024,2024,1112799.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",IAAC,2024,2024,621915.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,7,International Court of Justice,ICJ,2024,2024,32032043.0,Regular assessed,A/80/6,
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,31,Jointly financed administrative activities,ICSC,2024,2024,4896099.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IIIM,2024,2024,15129920.0,Regular assessed,A/80/6,
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,IIMP-SYRIA,2024,2024,2708765.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IM-MYANMAR,2024,2024,13219473.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,13,International Trade Centre,ITC,2024,2024,21631700.0,Regular assessed,A/80/6,
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,31,Jointly financed administrative activities,JIU,2024,2024,2397100.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,MENUB,2024,2024,1367.0,Regular assessed,A/80/6,
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2024,2024,20048731.0,Regular assessed,A/80/6,
Effective coordination of humanitarian assistance efforts,V,Regional cooperation for development,23,Regular programme of technical cooperation,OCHA,2024,2024,596166.0,Regular assessed,A/80/6,
"Drug control, crime prevention and combating terrorism",II,Political affairs,3,Political affairs,OCT,2024,2024,9975477.0,Regular assessed,A/80/6,
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,14176790.0,Regular assessed,A/80/6,
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,73692.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ODPP,2024,2024,150000.0,Regular assessed,A/80/6,
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,168478432.0,Regular assessed,A/80/6,
Promotion and protection of human rights,V,Regional cooperation for development,23,Regular programme of technical cooperation,OHCHR,2024,2024,2646335.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,10,"Least developed countries, landlocked developing countries and small island developing States",OHRLLS,2024,2024,7903421.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29C,Office of Information and Communications Technology,OICT,2024,2024,52868805.0,Regular assessed,A/80/6,
Effective functioning of the organization,IX,Internal oversight,30,Internal oversight,OIOS,2024,2024,24303687.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OJSRS,2024,2024,12188730.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,30842384.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OMBUD,2024,2024,4093432.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OMBUD-RES1904,2024,2024,718458.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,6,Peaceful uses of outer space,OOSA,2024,2024,4436167.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OPCW-UN,2024,2024,1655.0,Regular assessed,A/80/6,
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSAA,2024,2024,8324.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSAA,2024,2024,6217505.0,Regular assessed,A/80/6,
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSC-SEA,2024,2024,1065884.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OSESG-BDI,2024,2024,84523.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OSESG-GL,2024,2024,5246034.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,18,Economic and social development in Africa,OTHER,2024,2024,1150661.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2024,2024,918740.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,PESG-WSAHARA,2024,2024,302365.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-CAR,2024,2024,893658.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-DPRK,2024,2024,1454080.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-HAITI,2024,2024,1291111.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-LIBYA,2024,2024,1072932.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-MALI,2024,2024,282.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-SOMALIA,2024,2024,1611255.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-SUDAN,2024,2024,894316.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POE-YEMEN,2024,2024,1985314.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,POS-SSUDAN,2024,2024,897544.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",RCS,2024,2024,13442461.0,Regular assessed,A/80/6,
Effective functioning of the organization,II,Political affairs,3,Political affairs,RSCE,2024,2024,2128800.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,RSCSL,2024,2024,2587307.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SASG-CYP,2024,2024,2901000.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SASG-PGENOCIDE,2024,2024,2896878.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SC-RES1540,2024,2024,2442056.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SC-RES1559,2024,2024,172055.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SC-RES2231,2024,2024,959578.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-HAFRICA,2024,2024,1863199.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-MYAN,2024,2024,805117.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-YEMEN,2024,2024,14850988.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-YEMEN,2024,2024,77742.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-CAAC,2024,2024,2545271.0,Regular assessed,A/80/6,
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-SVC,2024,2024,2121155.0,Regular assessed,A/80/6,
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-VAC,2024,2024,3042842.0,Regular assessed,A/80/6,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,STL,2024,2024,-191840.0,Regular assessed,A/80/6,
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,32,Special expenses,Special Expenses,2024,2024,92149377.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,15,Human settlements,UN-HABITAT,2024,2024,11858098.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,UN-HABITAT,2024,2024,1089828.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UN-RGID,2024,2024,1719692.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,17,UN-Women,UN-Women,2024,2024,10788000.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMA,2024,2024,116932872.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMI,2024,2024,90095761.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,12,Trade and development,UNCTAD,2024,2024,81847066.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,23,Regular programme of technical cooperation,UNCTAD,2024,2024,2024999.0,Regular assessed,A/80/6,
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,UNDRR,2024,2024,1672739.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,14,Environment,UNEP,2024,2024,20465232.0,Regular assessed,A/80/6,
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,25,"International protection, durable solutions and assistance to refugees",UNHCR,2024,2024,47140524.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNIOGBIS,2024,2024,68639.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAD,2024,2024,19996135.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAMS,2024,2024,116195.0,Regular assessed,A/80/6,Regional Commission New York Office - Check
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAMS,2024,2024,17718501.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNJSPB,2024,2024,5293602.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNMHA,2024,2024,28873370.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMOGIP,2024,2024,9230856.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOAU,2024,2024,1286477.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOCA,2024,2024,7695310.0,Regular assessed,A/80/6,
"Drug control, crime prevention and combating terrorism",IV,International cooperation for development,16,"International drug control, crime and terrorism prevention and criminal justice",UNODC,2024,2024,24201146.0,Regular assessed,A/80/6,
"Drug control, crime prevention and combating terrorism",V,Regional cooperation for development,23,Regular programme of technical cooperation,UNODC,2024,2024,1004380.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOG,2024,2024,3345547.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29E,"Administration, Geneva",UNOG,2024,2024,80081797.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNON,2024,2024,1537199.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29D,"Administration, Nairobi",UNON,2024,2024,19100922.0,Regular assessed,A/80/6,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOV,2024,2024,1289851.0,Regular assessed,A/80/6,
Effective functioning of the organization,VIII,Common support services,29F,"Administration, Vienna",UNOV,2024,2024,19598281.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOWAS,2024,2024,14699832.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNRCCA,2024,2024,3222314.0,Regular assessed,A/80/6,
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,26,Palestine refugees,UNRWA,2024,2024,71476491.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNRoD,2024,2024,3399562.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSCO,2024,2024,10945492.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSCOL,2024,2024,10716043.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSMIL,2024,2024,85563525.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSOM,2024,2024,92411238.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNTSO,2024,2024,40491508.0,Regular assessed,A/80/6,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNVMC,2024,2024,80128214.0,Regular assessed,A/80/6,
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNYO,2024,2024,2713299.0,Regular assessed,A/80/6,
Development of Africa,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,10232233.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Disarmament,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,1410401.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
"Drug control, crime prevention and combating terrorism",XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,3481939.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Effective coordination of humanitarian assistance efforts,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,13948604.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Effective functioning of the organization,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,115905282.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Maintenance of international peace and security,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,81027010.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Promotion and protection of human rights,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,17243115.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Promotion of international justice and law,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,9446560.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Promotion of sustained economic growth and sustainable development,XIV,Staff assessment,36,Staff Assessment,STA,2024,2024,50010426.0,Regular assessed,A/80/6,$302.71 million redistributed across priority areas for purpose of visualization
Effective functioning of the organization,II,Political affairs,5,Peacekeeping operations,RSCE,2024,2023/24,43533200.0,Other Assessed,A/79/788,
Effective functioning of the organization,II,Political affairs,5,Peacekeeping operations,UNLB,2024,2023/24,65766400.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNSOS,2024,2023/24,532975400.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMISS,2024,2023/24,1154913900.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMIK,2024,2023/24,40628900.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNISFA,2024,2023/24,287112000.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNIFIL,2024,2023/24,511532400.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNFICYP,2024,2023/24,56086300.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNDOF,2024,2023/24,66910500.0,Other Assessed,A/79/788,
